rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,3-Jan,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
2,Brenden Aaronson,United States,MF,Union Berlin,Bundesliga,22,2000,30,1267,2,2,4,2,0,2,2,37,56,0.14,0.14,32,18,50,1,25,2,4,0,0,0,0,0,0,0,0,365,472,77.3,1506,85.8,80.8,59.4,22,30,14,11,77,44.2,53.2,37,29,9,38,2,18,38.9,0.5,0.11,0.29,44.8,3.76,0.57,0,2023-2024
3,Paxten Aaronson,United States,MF,Eint Frankfurt,Bundesliga,19,2003,7,101,0,1,1,0,0,0.1,0.1,2,5,0,0.89,2,2,100,0,2,0,0,0,0,0,0,0,0,0,0,41,50,82,71,80,90.9,0,1,4,2,0,7,28.6,57.1,2,0,1,4,0,2,100,1.78,0,0,100,0.89,0.89,0,2023-2024
19,Junior Adamu,Austria,FW,Freiburg,Bundesliga,22,2001,15,105,0,0,0,0,0,0.1,0.1,1,1,0,0,5,1,50,0,1,0,2,0,0,0,0,0,0,0,0,18,30,60,36,88.2,11.1,0,1,0,1,2,3,0,66.7,1,1,0,5,0,2,50,0.86,0,0,45.5,1.73,0,0,2023-2024
20,Sargis Adamyan,Armenia,FW,Köln,Bundesliga,30,1993,20,801,1,2,3,1,0,4.1,4.1,15,18,0.11,0.22,14,9,54.5,1,15,5,7,0,0,0,0,0,0,0,0,132,189,69.8,483,77.7,68.8,55.6,12,16,3,8,18,38.9,55.6,15,9,5,17,1,31,41.9,1.46,0.03,0.08,27.5,3.48,0.34,0,2023-2024
23,Karim Adeyemi,Germany,FW,Dortmund,Bundesliga,21,2002,21,913,3,1,4,3,0,3.5,3.5,52,26,0.3,0.1,16,14,40,0,11,3,5,0,0,0,0,0,0,0,0,218,299,72.9,719,83.3,73.5,44.4,9,9,10,10,60,30,53.3,52,22,27,25,3,23,43.5,0.99,0.13,0.3,60.9,2.46,0.2,0,2023-2024
26,Amine Adli,Morocco,MF,Leverkusen,Bundesliga,23,2000,23,898,4,6,10,4,0,3.3,3.3,32,39,0.4,0.6,16,7,41.2,2,8,6,5,0,0,0,0,0,0,0,0,367,459,80,1110,86.6,82.7,38.9,21,19,18,7,27,48.1,37,32,25,16,10,4,27,55.6,1.5,0.15,0.27,48.8,5.22,0.9,0,2023-2024
35,Felix Agu,Germany,DF,Werder Bremen,Bundesliga,23,1999,24,1614,0,0,0,0,0,0.9,0.9,32,32,0,0,45,29,70.7,7,20,13,41,0,0,0,0,0,0,0,0,488,669,72.9,2921,84.2,80.2,40.3,7,18,16,61,35,40,48.6,32,16,7,10,0,11,0,0,0,0,38.5,1.34,0.17,0,2023-2024
46,Ludovic Ajorque,France,FW,Mainz 05,Bundesliga,29,1994,26,1360,2,0,2,2,0,5.3,3.7,5,21,0.13,0,3,2,18.2,2,4,4,11,0,0,0,0,0,0,0,0,318,453,70.2,479,71.4,72.4,78.9,16,21,3,12,11,18.2,72.7,5,6,1,10,2,27,22.2,0.4,0.07,0.33,46.2,2.45,0,0,2023-2024
59,Kevin Akpoguma,Nigeria,DF,Hoffenheim,Bundesliga,28,1995,17,1097,0,0,0,0,0,0.3,0.3,10,55,0,0,35,18,74.3,8,20,18,32,0,0,0,0,0,0,0,0,611,711,85.9,3879,91.1,90.2,63.3,5,71,2,72,13,69.2,30.8,10,11,2,1,0,2,0,0,0,0,54.3,1.31,0.25,0,2023-2024
73,Faride Alidou,Germany,FW,Köln,Bundesliga,22,2001,26,1282,4,0,4,4,0,3,3,51,33,0.28,0,10,4,22.2,2,21,8,15,1,0,0,0,0,0,0,0,196,305,64.3,831,72.4,69,48.8,14,14,7,14,70,34.3,54.3,51,23,18,27,4,33,33.3,0.77,0.12,0.36,39.1,2.39,0.21,0,2023-2024
90,Skelly Alvero,France,MF,Werder Bremen,Bundesliga,21,2002,6,123,1,0,1,1,0,0.3,0.3,1,9,0.73,0,6,4,100,1,2,1,1,0,0,0,0,0,0,0,0,59,76,77.6,274,68.6,92.6,88.9,1,3,1,4,2,100,0,1,3,0,1,1,5,60,2.2,0.2,0.33,85.7,2.9,0,0,2023-2024
100,Nadiem Amiri,Germany,MF,Mainz 05,Bundesliga,26,1996,15,1315,1,4,5,1,0,2.2,1.4,16,88,0.07,0.27,22,14,68.4,2,14,14,18,0,0,0,0,0,0,0,0,567,798,71.1,4288,84.9,77.9,46.8,52,70,17,29,55,45.5,43.6,16,25,5,19,1,35,22.9,0.55,0.03,0.13,66.7,6.23,0.75,0,2023-2024
101,Nadiem Amiri,Germany,MF,Leverkusen,Bundesliga,26,1996,8,86,0,0,0,0,0,0.1,0.1,5,6,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,92,100,92,238,97.2,89.5,100,1,8,2,2,6,16.7,66.7,5,4,1,0,0,3,66.7,2.09,0,0,0,1.02,0,0,2023-2024
109,Robert Andrich,Germany,MF,Leverkusen,Bundesliga,28,1994,28,1690,4,2,6,4,0,1.7,1.7,20,97,0.21,0.11,30,18,54.2,4,11,20,17,0,0,0,0,0,0,0,0,1346,1494,90.1,6451,94.9,89.9,70.5,22,117,19,53,12,58.3,33.3,20,34,1,7,4,23,39.1,0.48,0.17,0.44,47.6,2.88,0.32,0,2023-2024
115,Waldemar Anton,Germany,DF,Stuttgart,Bundesliga,27,1996,33,2886,0,3,3,0,0,1.7,1.7,38,172,0,0.09,39,25,54.8,20,13,40,150,1,0,0,0,0,0,0,0,2330,2624,88.8,15026,94.7,93.2,55,9,163,7,296,22,68.2,31.8,38,19,5,12,0,28,21.4,0.19,0,0,65.3,1.22,0.28,0,2023-2024
