rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,Passes_into_final_third,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
1,Max Aarons,England,DF,Bournemouth,Premier League,23,2000,20,1237,0,1,1,0,0,0,0,22,43,0,0.07,29,19,58.8,5,4,8,27,0,0,0,0,0,0,0,0,450,581,77.5,2789,88.7,80,54,7,25,13,43,34,41.2,35.3,22,12,7,8,0,2,0,0,0,0,31.3,1.68,0.15,0,2023-2024
18,Tyler Adams,United States,MF,Bournemouth,Premier League,24,1999,3,121,0,0,0,0,0,0,0,4,5,0,0,4,3,66.7,0,2,4,2,0,0,0,0,0,0,0,0,59,71,83.1,262,89.7,75,75,1,9,0,3,3,66.7,0,4,1,2,0,0,0,0,0,0,0,40,2.25,0,0,2023-2024
21,Tosin Adarabioyo,England,DF,Fulham,Premier League,25,1997,20,1617,2,0,2,2,0,0.7,0.7,10,62,0.11,0,21,11,57.1,11,5,25,80,0,0,0,0,0,0,0,0,1028,1216,84.5,7956,90.2,89.7,65,2,47,2,181,3,33.3,0,10,12,1,4,2,14,35.7,0.28,0.14,0.4,66.7,0.56,0,0,2023-2024
22,Elijah Adebayo,England,FW,Luton Town,Premier League,25,1998,27,1419,10,0,10,10,0,5.9,5.9,16,23,0.63,0,4,1,8.3,2,11,6,25,0,0,0,0,0,0,0,0,144,204,70.6,385,77,68.3,50,14,9,4,27,67,26.9,68.7,16,15,13,34,10,31,45.2,0.89,0.32,0.71,50,1.97,0.32,0,2023-2024
24,Simon Adingra,Ivory Coast,FW,Brighton,Premier League,21,2002,31,2222,6,1,7,6,0,4.3,4.3,111,50,0.24,0.04,45,20,45.2,1,30,19,22,0,0,0,0,0,0,0,0,634,840,75.5,1713,83.9,75.5,52.6,33,17,33,36,123,40.7,52,111,48,63,28,6,52,42.3,0.89,0.12,0.27,40,3.12,0.16,0,2023-2024
36,Nayef Aguerd,Morocco,DF,West Ham,Premier League,27,1996,21,1857,1,0,1,1,0,1.5,1.5,10,68,0.05,0,26,14,72.7,24,9,17,85,2,0,0,0,0,0,0,0,943,1177,80.1,8804,93.1,91.7,48.1,4,74,2,187,5,60,40,10,8,0,2,1,14,21.4,0.15,0.07,0.33,60,0.68,0,0,2023-2024
39,Naouirou Ahamada,France,MF,Crystal Palace,Premier League,21,2002,20,349,0,0,0,0,0,0.5,0.5,19,25,0,0,13,9,47.1,0,3,2,4,0,0,0,0,0,0,0,0,150,187,80.2,628,85.4,85.5,71.4,1,12,0,6,13,53.8,38.5,19,8,4,11,0,9,22.2,0.52,0,0,50,2.3,0.77,0,2023-2024
40,Anel AhmedhodÅ¾iÄ‡,Bosnia and Herzegovina,DF,Sheffield Utd,Premier League,24,1999,31,2649,2,0,2,2,0,3.1,3.1,15,43,0.07,0,64,36,61.2,26,17,34,137,2,0,0,0,0,0,0,0,749,993,75.4,5078,86.5,81.9,39.4,7,41,3,229,21,52.4,42.9,15,15,3,11,2,19,26.3,0.17,0.11,0.4,59.1,0.88,0.03,0,2023-2024
42,Ola Aina,Nigeria,DF,Nott'ham Forest,Premier League,26,1996,22,1692,1,1,2,1,0,0.3,0.3,52,69,0.05,0.05,47,31,72.5,3,16,18,51,1,0,0,0,0,0,0,0,605,803,75.3,4065,87.7,76.4,46.5,11,58,13,62,45,60,31.1,52,28,11,10,1,11,9.1,0.05,0.09,1,58.6,2.02,0.05,0,2023-2024
43,Rayan AÃ¯t-Nouri,Algeria,DF,Wolves,Premier League,22,2001,33,2329,2,1,3,2,0,3.3,3.3,67,99,0.08,0.04,71,44,57.1,6,26,15,38,0,0,0,0,0,0,0,0,1005,1190,84.5,3935,91.1,86.3,52.8,25,60,13,56,115,53.9,33.9,67,48,8,56,2,24,33.3,0.31,0.08,0.25,45.7,2.51,0.19,0,2023-2024
45,Kristoffer Ajer,Norway,DF,Brentford,Premier League,25,1998,28,1832,2,1,3,2,0,1.3,1.3,22,61,0.1,0.05,38,21,63.9,11,15,25,79,1,0,0,0,0,0,0,0,610,810,75.3,3786,86.4,79.2,43.7,12,56,10,112,12,83.3,16.7,22,11,5,6,2,12,33.3,0.2,0.17,0.5,73.3,1.33,0.15,0,2023-2024
47,Manuel Akanji,Switzerland,DF,Manchester City,Premier League,28,1995,30,2511,2,0,2,2,0,1.9,1.9,46,148,0.07,0,42,28,56.4,12,16,23,70,3,0,0,0,0,0,0,0,2180,2334,93.4,9787,96,94.7,77.3,13,214,15,163,4,50,50,46,51,3,9,2,15,33.3,0.18,0.13,0.4,50,1.97,0.14,0,2023-2024
49,Nathan AkÃ©,Netherlands,DF,Manchester City,Premier League,28,1995,29,2042,2,2,4,2,0,2.5,2.5,24,116,0.09,0.09,26,16,65,2,15,14,54,0,0,0,0,0,0,0,0,1716,1864,92.1,8717,95.8,94.2,50.6,10,148,5,105,10,50,30,24,43,1,2,2,20,25,0.22,0.1,0.4,62.2,1.59,0.26,0,2023-2024
63,Thiago AlcÃ¡ntara,Spain,MF,Liverpool,Premier League,32,1991,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,70,30,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-2024
69,Trent Alexander-Arnold,England,DF,Liverpool,Premier League,24,1998,28,2155,3,4,7,3,0,2.6,2.3,45,205,0.13,0.17,39,26,31,2,20,31,48,5,0,0,0,0,0,0,0,1553,2062,75.3,12434,92.1,79.7,49.3,64,202,57,75,52,53.8,40.4,45,48,7,6,3,47,17,0.33,0.06,0.38,57.1,5.27,0.29,0,2023-2024
75,Alisson,Brazil,GK,Liverpool,Premier League,30,1992,28,2520,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,4,30,1.07,80,73.4,8,28.6,0,985,1142,86.3,13147,99.6,98.4,51.8,1,8,0,754,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.39,0,4.3,2023-2024
79,Miguel AlmirÃ³n,Paraguay,FW,Newcastle Utd,Premier League,29,1994,33,1937,3,1,4,3,0,4.5,4.5,78,78,0.14,0.05,36,24,37.9,2,27,10,13,0,0,0,0,0,0,0,0,668,801,83.4,1846,90.1,83.2,55.3,24,38,21,25,52,44.2,42.3,78,43,22,27,3,41,29.3,0.56,0.07,0.25,46.2,2.41,0.19,0,2023-2024
84,Edson Ãlvarez,Mexico,MF,West Ham,Premier League,25,1997,31,2377,1,1,2,1,0,1.3,1.3,20,91,0.04,0.04,80,39,47,20,39,42,81,0,0,0,0,0,0,0,0,1033,1207,85.6,5225,90.4,90.1,65.9,12,87,6,150,42,64.3,33.3,20,27,1,30,1,17,17.6,0.11,0.06,0.33,46.9,1.21,0.08,0,2023-2024
87,JuliÃ¡n Ãlvarez,Argentina,MF,Manchester City,Premier League,23,2000,36,2647,11,8,19,9,2,13,11.5,64,103,0.37,0.27,24,13,25,0,30,2,14,1,0,0,0,0,0,0,0,1011,1258,80.4,2992,90.6,82.9,40,67,43,41,20,42,47.6,52.4,64,59,28,36,11,96,38.5,1.26,0.09,0.24,14.3,4.01,0.51,0,2023-2024
